prime,roman,len
1831,MDCCCXXXI,9
1847,MDCCCXLVII,10
1861,MDCCCLXI,8
1867,MDCCCLXVII,10
1871,MDCCCLXXI,9
1873,MDCCCLXXIII,11
1877,MDCCCLXXVII,11
1879,MDCCCLXXIX,10
1889,MDCCCLXXXIX,11
1901,MCMI,4
1907,MCMVII,6
1913,MCMXIII,7
1931,MCMXXXI,7
1933,MCMXXXIII,9
1949,MCMXLIX,7
1951,MCMLI,5
1973,MCMLXXIII,9
1979,MCMLXXIX,8
1987,MCMLXXXVII,10
1993,MCMXCIII,8
1997,MCMXCVII,8
1999,MCMXCIX,7
2003,MMIII,5
2011,MMXI,4
2017,MMXVII,6
2027,MMXXVII,7
2029,MMXXIX,6
2039,MMXXXIX,7
2053,MMLIII,6
2063,MMLXIII,7
2069,MMLXIX,6
2081,MMLXXXI,7
2083,MMLXXXIII,9
2087,MMLXXXVII,9
2089,MMLXXXIX,8
2099,MMXCIX,6
2111,MMCXI,5
2113,MMCXIII,7
2129,MMCXXIX,7
2131,MMCXXXI,7
2137,MMCXXXVII,9
2141,MMCXLI,6
2143,MMCXLIII,8
2153,MMCLIII,7
2161,MMCLXI,6
2179,MMCLXXIX,8
2203,MMCCIII,7
2207,MMCCVII,7
2213,MMCCXIII,8
2221,MMCCXXI,7
2237,MMCCXXXVII,10
2239,MMCCXXXIX,9
2243,MMCCXLIII,9
2251,MMCCLI,6
2267,MMCCLXVII,9
2269,MMCCLXIX,8
2273,MMCCLXXIII,10
2281,MMCCLXXXI,9
2287,MMCCLXXXVII,11
2293,MMCCXCIII,9
2297,MMCCXCVII,9
2309,MMCCCIX,7
2311,MMCCCXI,7
2333,MMCCCXXXIII,11
2339,MMCCCXXXIX,10
2341,MMCCCXLI,8
2347,MMCCCXLVII,10
2351,MMCCCLI,7
2357,MMCCCLVII,9
2371,MMCCCLXXI,9
2377,MMCCCLXXVII,11
2381,MMCCCLXXXI,10
2383,MMCCCLXXXIII,12
2389,MMCCCLXXXIX,11
2393,MMCCCXCIII,10
2399,MMCCCXCIX,9
2411,MMCDXI,6
